Line Item,2023-03-31,2024-03-31
Cash and Cash Equivalents,1200000,1500000
Trade Receivables,1500000,1800000
Inventories,1000000,1100000
Other Current Assets,300000,350000
Total Current Assets,4000000,4750000
"Property, Plant and Equipment",6000000,6500000
Other Non-Current Assets,200000,250000
Total Non-Current Assets,6200000,6750000
Total Assets,10200000,11500000
Trade Payables,1200000,1300000
Short-term Borrowings,800000,700000
Other Current Liabilities,200000,250000
Total Current Liabilities,2200000,2250000
Long-term Borrowings,3000000,2800000
Other Non-Current Liabilities,200000,285000
Total Non-Current Liabilities,3200000,3085000
Share Capital,2000000,2000000
Reserves and Surplus,2800000,4165000
Total Equity,4800000,6165000
Total Equity and Liabilities,10200000,11500000
