Date,Narration,Debit,Credit,Balance
2023-04-05,Salary payout,150000,0,350000
2023-04-10,Customer payment ABC Corp,0,200000,550000
2023-05-02,Rent payment,50000,0,500000
2023-05-15,Customer payment XYZ Ltd,0,300000,800000
2023-06-01,Salary payout,150000,0,650000
2023-06-20,Loan EMI,40000,0,610000
2023-07-08,Customer payment ABC Corp,0,250000,860000
2023-08-01,Salary payout,150000,0,710000
2023-08-15,Cash withdrawal,600000,0,110000
2023-09-05,Customer payment XYZ Ltd,0,400000,510000
2023-10-01,Salary payout,150000,0,360000
2023-11-01,Customer payment ABC Corp,0,250000,610000
2023-12-01,Salary payout,150000,0,460000
2024-01-05,Customer payment XYZ Ltd,0,350000,810000
2024-02-01,Salary payout,150000,0,660000
2024-03-01,Customer payment ABC Corp,0,250000,910000
